Gene_ID	Two	Three	Four	Five	Six
Ceric.11G044500	4.40954731058947	4.27054225805915	3.3442505308746	3.77126686296754	1.58495535759683
Ceric.11G046500	-1.96138945674382	2.32668306318271	0.884902411552562	-0.689691889464187	-1.95400626699984
Ceric.11G048000	6.89589407336725	6.73277263683377	6.1807247906586	6.18306779349899	5.81179061630947
Ceric.11G050000	4.06660356647436	4.36958597856625	5.83395562934817	5.44509953751183	6.20611403195949
Ceric.11G052000	4.01886826891332	4.50395595132337	5.25256524211992	5.0040408773068	4.79717495686485
Ceric.11G052700	5.42345556848945	5.88123851968311	7.31977640594176	7.77758043687112	7.07502098742175
Ceric.11G053200	8.08805161419198	8.5666866280277	9.05245671942352	8.39338487305172	8.60847524431708
Ceric.11G056200	6.9599824350304	6.48288966764072	6.88742247778346	4.85105145717433	5.87333947156757
Ceric.11G058600	3.39077154234847	2.20597055845567	1.07186133112817	0.35347618973584	-1.01855449900887
Ceric.11G059500	3.35990765644617	3.64264774253608	2.49522834080549	3.28029476415386	4.2994731149061
Ceric.11G061300	8.18247094618999	8.76834139035801	8.87680985076739	7.97347202584364	8.60013621088393
Ceric.11G063500	6.50794813291629	6.52348317791454	7.60764745655555	6.53619257955756	7.51635026024559
Ceric.11G064600	-2.53027374585647	-2.00028165870032	-2.53027374585647	-2.53027374585647	1.86894720305845
Ceric.11G064900	-0.555013532807562	1.28573527114636	-0.590663781880282	-2.53027374585647	-1.01855449900887
Ceric.11G066900	1.06715476223171	2.48984700487012	0.368678102670289	2.4665943499388	0.441635115857249
Ceric.11G068800	6.71815580516026	5.98345969100382	6.49477147918203	5.72084280735103	7.03992896422688
Ceric.11G069400	6.87302102530558	6.5498064203296	7.10247221461042	6.09510099800692	7.49245892122341
Ceric.11G069700	0.924833363585437	2.25216974751687	-0.00564832516513896	1.21663625914376	0.744156322746534
Ceric.11G076200	0.186943881993518	2.21167485102975	-0.954413113542812	-0.671554830898566	-0.303417419699713
Ceric.11G077500	6.41988062085298	6.19589121058201	5.86872217871395	5.51202290294967	5.47872497643352
Ceric.11G079500	2.68761108556716	2.89775951358287	3.48397048402977	3.691462537811	4.41854935434054
Ceric.11G079800	-0.290981757439415	2.09557852237471	-0.0943535226599955	2.16701715184562	-0.901671006542502
Ceric.11G080900	3.92028820362249	3.9599757795162	2.58414539859908	3.43049199283098	2.76031025192291
Ceric.11G081000	4.20485999617016	3.85326764965501	4.2544341122162	3.82715264513013	0.883124790802398
Ceric.11G081600	8.44312365292474	7.86262728872598	8.33694951827157	8.08299817582622	8.93092747098437
Ceric.11G081800	-0.073370653311756	2.07567421209458	-0.738601895966111	0.215870683771296	-1.11482077069021
Ceric.11G082700	6.30128520887158	5.71695843491022	5.27505185427367	4.65748146147017	4.57946448463508
Ceric.11G083100	3.42478166293108	4.02795641829201	4.76139294019208	4.47977424820854	4.38917157991274
Ceric.11G083300	6.24150538827479	5.8460381954724	6.99509597298855	6.69459554127204	7.08163360686619
Ceric.11G084700	2.95425447933763	2.10938367162552	3.05973949298685	0.963976142765929	3.50489487346449
Ceric.11G089700	4.83002135828128	3.39419089254681	4.00569445538513	3.40591701773786	4.33993942131605
Ceric.11G097100	4.5394989329938	4.45826015294799	5.2845259564668	4.63652391685581	5.63572692556394
Ceric.12G000800	4.93467849456406	3.62156618005196	5.612005021927	5.05292254984946	6.57064221738184
Ceric.12G001000	-0.125518982111921	-1.90274376156075	0.441589737100738	2.21985822592921	1.50212128376571
Ceric.12G001800	5.51828418610165	5.49651950788196	4.45765686245091	5.43899818412729	4.22236478740694
Ceric.12G001900	12.7253732598258	11.6483806057421	12.2960123109527	11.7604284289542	12.6323415025572
Ceric.12G003000	2.80895799905565	3.49150187830217	3.84091155659161	4.69111671895709	4.60861943639423
Ceric.12G003700	5.35579387271206	5.11762240584792	6.02952917189499	6.0739169075197	6.99278562149641
Ceric.12G003900	2.21199241740164	1.18036073890444	1.56884296809514	2.66586479158194	3.5478280323371
Ceric.12G007500	4.79596655051717	4.40571759785127	4.25049559790301	4.83486366000412	6.76878901234785
Ceric.12G011300	10.7137836191747	8.64685289742656	8.95735685874352	3.82706580193517	5.2408457910893
Ceric.12G011500	3.47575837419258	2.37329905533036	4.1642115158672	3.01956835543555	5.67825125329339
Ceric.12G011800	3.76891693854793	1.63347919871034	2.98997145005006	-1.44561218981111	-0.596572776062209
Ceric.12G011900	5.41816733270813	3.19651254093348	4.89133527899245	-0.210438785967127	1.897003171203
Ceric.12G014400	5.51035591606178	5.65460133231501	5.01088770408896	4.45037994473399	5.04952203175412
Ceric.12G016100	4.44714807891465	4.06146186201636	2.68586666587395	2.39517830586202	2.62360044041707
Ceric.12G017000	2.32912269735469	3.3632786643494	3.36876407414533	4.64113079350987	4.8633002335657
Ceric.12G018400	4.8958827404796	4.64636596466729	4.97413202934044	3.09297039593422	2.92635324087397
Ceric.12G019600	2.77802784415506	2.69983451471209	3.67483873803458	3.54439223748755	5.23383274050637
Ceric.12G019700	-0.523450796600931	-0.233429308540558	-0.364203086358408	1.43584227331638	4.14612172024829
Ceric.12G021000	6.49441823216015	5.57231957783744	6.04036476309665	5.47083496876166	5.22139816024561
Ceric.12G022200	2.5463373715366	3.39204972950572	3.97285653323686	4.72753392968927	4.78293232123231
Ceric.12G022300	-0.82329329471359	1.43363408557579	3.04914804951604	3.15141018544342	2.71516150997153
Ceric.12G023200	-1.54293757293824	-0.988555726714918	-0.651994713420659	2.18926222931678	2.62718396537978
Ceric.12G023400	-1.54293757293824	1.13139142996873	2.76684237594255	6.39328839361826	6.75178257495327
Ceric.12G023600	-0.68156189911049	-0.121979578370368	1.73620067980417	3.84922550372009	3.03461128291441
Ceric.12G023700	2.76997441269584	3.69394354195469	4.16818515318523	6.75442660856358	6.81671917283192
Ceric.12G023900	2.21908698788088	0.597430805789878	1.69570283542855	2.24414280361017	2.79420660537344
Ceric.12G026200	4.38291086728509	5.48294480644993	3.92082106333787	3.88041992686192	3.33491893945654
Ceric.12G029600	-0.859500348980824	1.70184197377858	1.63382632726294	-1.97274347008724	1.20647352443307
Ceric.12G029900	3.37406497899774	4.15023091223499	4.71436093111727	3.69626239833856	4.32589687609342
Ceric.12G031200	6.07695813740558	7.4793653295716	5.83495737324986	5.93973741642337	4.81600915352038
