Gene_ID	TCQ	PEM	TRA	LEE	E180	LEM	LEL	MAT
Bradi3g23145.1	-2.69793732596079	-2.95801196584747	-3.12618412404073	-2.17942510445115	-2.03504929477866	-2.00113107419476	-1.13096755129418	-0.31602772285031
Bradi3g23150.1	0.264385029956919	-0.641193399283391	-1.24331700916972	-0.595334627911129	-1.27420743821028	-1.75462492669661	-2.02912064828998	-1.91880106087398
Bradi3g23160.1	7.05100394177575	6.47197533837304	6.65271917440714	7.11067399047467	7.10594293602941	7.59385044377229	6.76863772832769	7.05228688480993
Bradi3g23167.1	5.30809299143968	5.05936183533653	4.85125767780871	4.73087041820282	5.17301654400234	5.11062012213869	4.91012577577656	4.41813062009845
Bradi3g23220.1	-1.39132179536227	-1.1516301849734	-2.10939344179154	-2.11386761626276	-3.07635164316414	-2.2095763126531	-2.63927310698681	-0.946413742333395
Bradi3g23226.1	3.12920351888367	3.32358099215253	3.38396249876049	3.02900289968869	2.44699197318244	2.55551730729516	1.77538006653281	1.70444413123018
Bradi3g23230.1	5.09309730505356	5.6687891463436	5.96044389008281	5.67350585168525	5.85458347107816	5.68837048539927	4.88185733482328	5.08919073112796
Bradi3g23240.1	0.666551103125645	-1.05916408575923	-2.15647417220176	-1.25003669045195	-2.85781237507548	-2.85781237507548	-2.85781237507548	-2.60061042175262
Bradi3g23251.4	0.221154038652777	0.232676367938313	0.0949246882731837	1.00642351039405	1.39909959032801	1.86474317835044	2.50198638706227	2.83838282650957
Bradi3g23263.2	1.09871146311638	1.75921500778407	0.0765946590557904	-1.50116446531785	-1.66133332115794	-1.77276802324484	-0.988529228338007	-1.2585321101524
Bradi3g23267.1	2.93999591681142	3.65624912476904	3.69558567060379	4.04667329111537	3.83444642276772	3.9554245146788	3.67740667440653	3.39216445383729
Bradi3g23290.1	3.53403738288826	2.68102618735592	3.25451975849001	3.74665140518719	4.2622510801198	4.00533911926634	3.89132103448705	4.25352337790569
Bradi3g23300.2	4.81477895443171	5.40982963470743	5.65962318639407	5.94855391921134	6.00337739151174	5.84267507390338	5.48389962017293	4.9804680785089
Bradi3g23306.1	-1.33605849169199	-0.778527462206779	0.963811435383994	1.90691505254384	0.722967797725314	-0.926280516278908	-1.24619130698836	-2.37433323400926
Bradi3g23310.1	8.91544552276761	9.42543510687675	9.5026461259506	9.07880547140551	7.81247537901118	7.77088374256737	8.00731945562397	8.32605381405042
Bradi3g23320.1	0.928756022629349	1.16141861299567	0.818839295179955	1.1836523239247	1.87209705031519	1.74087940628638	2.11748326508625	1.62588910726266
Bradi3g23330.1	6.02801111385463	7.06582661630734	7.46496225540132	7.2102454739736	6.44672284952364	6.44634752529415	5.66390468911505	4.86680167916066
Bradi3g23340.4	5.58371058452169	5.78810430957171	6.17150609099876	6.46492380167872	6.25005158492563	6.63052624229187	5.56355140661639	5.120041613176
Bradi3g23341.1	0.108449173299094	0.551377360755708	0.400586517945879	0.508236163209239	-1.40622060196343	-0.548072269710885	-0.0159999630990814	-1.01300000755124
Bradi3g23345.1	-1.77445234154721	0.0249892054603026	-0.478548974444583	-0.298658178316684	-2.16364330101213	-1.61873710971252	-1.49865894817378	-1.63511379957915
Bradi3g23346.1	0.34985910293718	1.8053003392027	0.986596875852186	1.07705617236919	-0.512996624982522	-0.586802257556143	-0.480977901359683	-1.14899797888554
Bradi3g23348.2	-0.497212848799591	-0.0052586056849383	-0.0450207326957174	-0.0813123931367056	0.376394245636644	0.585476560109885	1.04301472134033	0.276624095211048
Bradi3g23363.1	-2.05138126522797	-1.09287728460163	-1.32535703421006	-1.34196241772946	-2.41147573337864	-2.27917427422376	-2.86451254724806	-1.91107982338177
Bradi3g23369.1	-0.621175028384941	0.958031268987658	1.09551016237914	0.470302510590881	-0.361069405304282	-0.648071998044484	-0.901546389191792	-1.09714068962127
Bradi3g23520.1	-1.09453746468896	-2.17779604602897	-1.50397775430943	-1.26893475272748	0.129696848034825	-0.281693620601466	0.29009697671077	0.427382003382474
Bradi3g23590.1	6.8787042936212	6.06272522368167	6.17418431840938	6.20121317353028	6.29546172237559	6.44957163852452	6.39083928069074	6.35180199159251
Bradi3g23800.1	5.63348102624747	4.72703417402191	5.084286834886	5.26577933719264	5.59302771413213	5.5035865509775	5.43168645017874	6.64144876820712
Bradi3g23880.2	0.552244636869916	0.351803733088412	1.56586522055928	1.12849312426608	2.26239837751693	1.81163000029611	2.18101684072886	1.64915157140798
Bradi3g24010.1	6.0342139677405	6.87088852083022	6.57571814162035	6.00154973734197	5.76074695210194	5.94761523233158	5.77010423567024	4.3381465029689
Bradi3g24142.1	1.71468932418971	1.31134369895285	0.683046160975856	1.29069285940947	0.997466141346946	0.633686736765776	0.636073626547286	0.923779110649616
Bradi3g24210.3	6.0576936636005	5.21127010887901	5.78259882721904	5.80562857931283	5.96883345898711	5.79880602367408	5.83924905909321	6.10865030386466
Bradi3g24417.1	5.68072738398027	5.82639268492617	5.53981646368484	5.3242144962886	6.452190044399	6.16784722119547	5.89289208724299	5.80982864909077
Bradi3g24450.1	1.5335153974819	1.20912838707432	1.79465321602222	1.88448515872631	3.09599120887094	3.26857588206789	3.41162195034867	3.65799231461558
Bradi3g24650.1	5.13452363697305	5.02798182484052	4.68325073035446	4.22107790828666	3.71524635466585	3.52639933395892	4.39715718865852	5.10433763189786
Bradi3g24662.1	2.59839551314583	3.21877070033296	3.23138469641269	3.48756482247686	4.18765290487366	4.00402651119362	3.96230533295673	4.58732888260828
Bradi3g24674.1	0.500451029874695	0.50017169405243	0.337033961657641	0.991921068134038	1.84549808449248	2.2340455933209	2.98211028307056	3.29087435741304
Bradi3g24676.1	3.71235676154652	5.24613955906357	4.87017251119491	4.5016793312456	4.11430644797058	3.92787119792573	3.87519788856447	3.00269924187659
Bradi3g24680.1	7.21983140963401	6.4566196740506	6.75053221527894	6.74936103806759	7.11316549144448	7.20978288119003	6.89521152344702	6.87809377806466
Bradi3g24690.1	3.49550835987725	2.57320496435048	2.61917174231007	2.36286098255346	2.92840702828539	2.66532588652582	2.50749372624803	2.08755209427121
Bradi3g24693.2	-0.44063527454698	1.0057554218601	0.195877081772992	-0.732917969250105	-1.34431682354664	-0.997935691071923	-0.57027111681885	-0.968165856149767
